Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.3651183247566223,0.40565940737724304,0.4392286241054535,0.400326669216156,0.315935343503952,0.1155020147562027,0.6825479865074158
1,0.4098149538040161,0.4079199433326721,0.3714713454246521,0.35939863324165344,0.2252521961927414,0.11370350420475006,0.6073806285858154
2,0.43453893065452576,0.4646478295326233,0.3382714092731476,0.3167089819908142,0.22317974269390106,0.1129605770111084,0.5553795099258423
3,0.45918282866477966,0.4646269679069519,0.3080868721008301,0.2990954518318176,0.22971037030220032,0.11782576143741608,0.5252063870429993
4,0.4606444835662842,0.4646693170070648,0.3124416470527649,0.3173231780529022,0.24852952361106873,0.12521892786026,0.48230016231536865
5,0.4830981194972992,0.5666972398757935,0.3231380581855774,0.3502051830291748,0.5575980544090271,0.124420166015625,0.44573864340782166
6,0.5847268104553223,0.6085094809532166,0.3452998995780945,0.3323962092399597,0.5619820356369019,0.12335558235645294,0.4795297086238861
7,0.6038362979888916,0.6213021278381348,0.3305327296257019,0.32885897159576416,0.5969048738479614,0.12000058591365814,0.5253732204437256
8,0.6241424083709717,0.6281535625457764,0.3083738386631012,0.2997598946094513,0.7115557193756104,0.11206769943237305,0.6352669596672058
9,0.6273131370544434,0.6290538907051086,0.299567848443985,0.2991429269313812,0.7363594770431519,0.11066292226314545,0.6570440530776978
10,0.6892743110656738,0.8167170286178589,0.28621426224708557,0.26950499415397644,0.5652338266372681,0.11767970025539398,0.5177230834960938
11,0.7663326263427734,0.819743812084198,0.26718568801879883,0.2642452120780945,0.48148244619369507,0.12066382169723511,0.43560028076171875
12,0.9340562224388123,0.9572759866714478,0.25433868169784546,0.25365588068962097,0.7158119082450867,0.09861382842063904,0.5676310062408447
13,0.9716531038284302,0.9627794623374939,0.25326839089393616,0.25200870633125305,0.7768144607543945,0.09872614592313766,0.5848338603973389
14,0.9764146208763123,0.9651814699172974,0.25059640407562256,0.24870316684246063,0.8328436613082886,0.09824197739362717,0.5892019867897034
15,0.9787086248397827,0.966515302658081,0.24815651774406433,0.24680195748806,0.8774592280387878,0.09794820845127106,0.590707004070282
16,0.9801530838012695,0.9673781394958496,0.2462731897830963,0.24498167634010315,0.9174699783325195,0.09758076071739197,0.5929700136184692
17,0.9811474680900574,0.9679301977157593,0.24477557837963104,0.2436751127243042,0.9409096240997314,0.0972149521112442,0.5954869985580444
18,0.9818907976150513,0.968315064907074,0.2430696040391922,0.2418632209300995,0.9518373012542725,0.09705008566379547,0.5986642241477966
19,0.9824718236923218,0.9685935378074646,0.24149636924266815,0.24018533527851105,0.9595493674278259,0.09737442433834076,0.6026744842529297
20,0.9829366207122803,0.9687981009483337,0.23955947160720825,0.23793794214725494,0.964814305305481,0.09785806387662888,0.6063684225082397
21,0.9833080768585205,0.9689533710479736,0.23691600561141968,0.23532478511333466,0.9696329832077026,0.09834179282188416,0.609449028968811
22,0.983607292175293,0.9690737128257751,0.2342773675918579,0.23262791335582733,0.9749341011047363,0.09877434372901917,0.6130807399749756
23,0.9838502407073975,0.9691694974899292,0.23187556862831116,0.2305619716644287,0.9802178144454956,0.099164679646492,0.6190329790115356
24,0.9840480089187622,0.9692458510398865,0.2302308827638626,0.22915767133235931,0.983769416809082,0.09947575628757477,0.6281062960624695
25,0.9842089414596558,0.9693064093589783,0.22884339094161987,0.22772827744483948,0.9860884547233582,0.09979002177715302,0.6447650194168091
26,0.9843412637710571,0.9693552255630493,0.22721123695373535,0.22601966559886932,0.9877743721008301,0.10024449229240417,0.661525309085846
27,0.9844529032707214,0.9693959951400757,0.22551245987415314,0.22407378256320953,0.9892026782035828,0.1007286012172699,0.6783286929130554
28,0.984548032283783,0.969430148601532,0.22371307015419006,0.22241823375225067,0.9904035925865173,0.10120762884616852,0.6952919363975525
29,0.9846301078796387,0.9694589376449585,0.22200708091259003,0.2206621617078781,0.9914214611053467,0.10173122584819794,0.7136759161949158
30,0.9847011566162109,0.9694833755493164,0.2192951887845993,0.21613943576812744,0.9922882318496704,0.10224774479866028,0.7356971502304077
31,0.9847631454467773,0.9695042371749878,0.21460291743278503,0.21254917979240417,0.9930276870727539,0.10276766866445541,0.7642452120780945
32,0.984817385673523,0.9695219397544861,0.21214699745178223,0.21041063964366913,0.9936599135398865,0.10332338511943817,0.8016917705535889
33,0.984865128993988,0.9695371985435486,0.210196390748024,0.20931904017925262,0.9942023754119873,0.10392966121435165,0.8448554873466492
34,0.984907329082489,0.9695503115653992,0.20942673087120056,0.20854012668132782,0.9946702718734741,0.10460439324378967,0.8872963190078735
35,0.9849445819854736,0.9695615768432617,0.20868270099163055,0.20775841176509857,0.9950757026672363,0.1053469181060791,0.9238244295120239
36,0.9849778413772583,0.9695713520050049,0.20792198181152344,0.2069990485906601,0.9954293966293335,0.10616622865200043,0.9513306617736816
37,0.9850074052810669,0.9695798754692078,0.2071981579065323,0.20634298026561737,0.9957394003868103,0.10706080496311188,0.9698901176452637
38,0.985034167766571,0.9695873260498047,0.20649577677249908,0.20564500987529755,0.9960128664970398,0.10803170502185822,0.9815405607223511
39,0.9850580096244812,0.9695937037467957,0.20587968826293945,0.20505313575267792,0.9962584972381592,0.10908722132444382,0.9885303974151611
